,ID,name,address,zip code,phone,city,country,notes,SID
0,218,VERA MCCOY,1168 Najafabad Parkway,40301,886649065861,Kabul,Afghanistan,active,1
1,441,MARIO CHEATHAM,1924 Shimonoseki Drive,52625,406784385440,Batna,Algeria,active,1
2,69,JUDY GRAY,1031 Daugavpils Parkway,59025,107137400143,Bchar,Algeria,active,2
3,176,JUNE CARROLL,757 Rustenburg Avenue,89668,506134035434,Skikda,Algeria,active,1
4,320,ANTHONY SCHWAB,1892 Nabereznyje Telny Lane,28396,478229987054,Tafuna,American Samoa,active,2
5,528,CLAUDE HERZOG,486 Ondo Parkway,35202,105882218332,Benguela,Angola,active,1
6,383,MARTIN BALES,368 Hunuco Boulevard,17165,106439158941,Namibe,Angola,active,1
7,381,BOBBY BOUDREAU,1368 Maracabo Boulevard,32716,934352415130,South Hill,Anguilla,active,2
8,359,WILLIE MARKHAM,1623 Kingstown Drive,91299,296394569728,Almirante Brown,Argentina,active,2
9,560,JORDAN ARCHULETA,1229 Varanasi (Benares) Manor,40195,817740355461,Avellaneda,Argentina,active,1
10,322,JASON MORRISSEY,1427 A Corua (La Corua) Place,85799,972574862516,Baha Blanca,Argentina,active,1
11,24,KIMBERLY LEE,96 Tafuna Way,99865,934730187245,Crdoba,Argentina,active,2
12,445,MICHEAL FORMAN,203 Tambaram Street,73942,411549550611,Escobar,Argentina,active,1
13,530,DARRYL ASHCRAFT,166 Jinchang Street,86760,717566026669,Ezeiza,Argentina,active,2
14,89,JULIA FLORES,1926 El Alto Avenue,75543,846225459260,La Plata,Argentina,active,1
15,107,FLORENCE WOODS,1532 Dzerzinsk Way,9599,330838016880,Merlo,Argentina,active,1
16,585,PERRY SWAFFORD,773 Dallas Manor,12664,914466027044,Quilmes,Argentina,active,1
17,243,LYDIA BURKE,1483 Pathankot Street,37288,686015532180,San Miguel de Tucumn,Argentina,active,1
18,331,ERIC ROBERT,430 Kumbakonam Drive,28814,105470691550,Santa F,Argentina,active,1
19,405,LEONARD SCHOFIELD,88 Nagaon Manor,86868,779461480495,Tandil,Argentina,active,1
20,219,WILLIE HOWELL,1244 Allappuzha (Alleppey) Place,20657,991802825778,Vicente Lpez,Argentina,active,2
21,41,STEPHANIE MITCHELL,42 Brindisi Place,16744,42384721397,Yerevan,Armenia,active,1
22,173,AUDREY RAY,1010 Klerksdorp Way,6802,493008546874,Graz,Austria,active,1
23,159,JILL HAWKINS,1440 Compton Place,81037,931059836497,Linz,Austria,active,1
24,266,NORA HERRERA,1587 Loja Manor,5410,621625204422,Salzburg,Austria,active,2
25,333,ANDREW PURDY,431 Szkesfehrvr Avenue,57828,119501405123,Baku,Azerbaijan,active,2
26,334,RAYMOND MCWHORTER,503 Sogamoso Loop,49812,834626715837,Sumqayit,Azerbaijan,active,2
27,590,SETH HANNON,1759 Niznekamsk Avenue,39414,864392582257,al-Manama,Bahrain,active,2
28,332,STEPHEN QUALLS,1838 Tabriz Lane,1195,38988715447,Dhaka,Bangladesh,active,1
29,329,FRANK WAGGONER,1816 Bydgoszcz Loop,64308,965273813662,Jamalpur,Bangladesh,active,2
30,21,MICHELLE CLARK,262 A Corua (La Corua) Parkway,34418,892775750063,Tangail,Bangladesh,active,1
31,527,CORY MEEHAN,556 Asuncin Way,35364,338244023543,Mogiljov,Belarus,active,1
32,144,CLARA SHAW,1027 Songkhla Manor,30861,563660187896,Molodetno,Belarus,active,1
33,455,JON WILES,659 Gatineau Boulevard,28587,205524798287,El Alto,Bolivia,active,2
34,431,JOEL FRANCISCO,287 Cuautla Boulevard,72736,82619513349,Sucre,Bolivia,active,2
35,551,CLAYTON BARBEE,1407 Pachuca de Soto Place,26284,380077794770,Alvorada,Brazil,active,2
36,307,JOSEPH JOY,1354 Siegen Street,80184,573441801529,Angra dos Reis,Brazil,active,2
37,229,TAMARA NGUYEN,356 Olomouc Manor,93323,22326410776,Anpolis,Brazil,active,1
38,216,NATALIE MEYER,1201 Qomsheh Manor,21464,873492228462,Aparecida de Goinia,Brazil,active,1
39,77,JANE BENNETT,1692 Ede Loop,9223,918711376618,Araatuba,Brazil,active,2
40,398,ANTONIO MEEK,1190 0 Place,10417,841876514789,Bag,Brazil,active,1
41,362,NICHOLAS BARFIELD,1163 London Parkway,6066,675120358494,Belm,Brazil,active,1
42,206,TERRI VASQUEZ,1304 s-Hertogenbosch Way,10925,90336226227,Blumenau,Brazil,active,1
43,342,HAROLD MARTINO,1293 Nam Dinh Way,71583,697656479977,Boa Vista,Brazil,active,1
44,325,TIMOTHY BUNN,981 Kumbakonam Place,87611,829116184079,Braslia,Brazil,active,1
45,92,TINA SIMMONS,984 Effon-Alaiye Avenue,17119,132986892228,Goinia,Brazil,active,2
46,427,JESUS MCCARTNEY,259 Ipoh Drive,64964,419009857119,Guaruj,Brazil,active,2
47,130,CHARLOTTE HUNTER,758 Junan Lane,82639,935448624185,guas Lindas de Gois,Brazil,active,1
48,310,DANIEL CABRAL,543 Bergamo Avenue,59686,103602195112,Ibirit,Brazil,active,2
49,47,FRANCES PARKER,686 Garland Manor,52535,69493378813,Juazeiro do Norte,Brazil,active,1
