address,phonenumber,deposit,rent
대구광역시 승병창구 석후범마을 189 (455-306),01066634139,6000.0,30.0
"서울특별시 람형마을 
 한상안군 8 513-776",01094756841,3000.0,40.0
"대구광역시 염통가시 
 홍혁솔거리 8 534-443",01034413981,3000.0,70.0
"전라북도 남주경마을 
 광미동 2 756-9 353-121",01069486244,6000.0,70.0
"세종특별자치시 준비완구 
 도찬협거리 8419 743-148",01029224754,7000.0,40.0
"경상남도 아종금시 
 철양동 350 222-903",01081135742,1000.0,70.0
전라북도 조용병구 전소지거리 5159 24-7 (245-703),01026711978,9000.0,70.0
"경상북도 혜려시 
 협창거리 5951 923-730",01063867111,2000.0,30.0
"강원도 복향종마을 
 윤란동로 720 7-7 061-018",01062434816,4000.0,60.0
광주광역시 종엽억구 강전홍안거리 7 (050-061),01013273277,9000.0,60.0
경기도 즙훈가시 혁진근로 0426 (441-298),01078897796,3000.0,60.0
전라북도 의람구 최림유로 2 (814-982),01016469544,6000.0,60.0
강원도 단힘관마을 금광로 1 (375-826),01081441549,2000.0,50.0
경기도 필란익마을 용현로 0 71-5 (553-053),01084683413,5000.0,30.0
부산광역시 류은철마을 별가로 054 131-1 (146-927),01087294741,6000.0,70.0
"울산광역시 준두마을 
 미리형동 6988 718-938",01031322697,9000.0,40.0
"경기도 태덕구 
 종종엽동 802 41-7 679-139",01058423789,6000.0,60.0
"강원도 함형승구 
 황비동 189 636-809",01018217893,4000.0,30.0
서울특별시 범주구 기주혜구 890 148 (120-992),01077621199,1000.0,40.0
"대전광역시 신대웅구 
 안휘리동 529 380-473",01044831435,3000.0,60.0
"경상북도 공민남군 
 노관미동 0 556-544",01046526926,4000.0,50.0
"울산광역시 산경마을 
 조재다동 0 874-621",01048517488,6000.0,30.0
울산광역시 웅연군 독고아익거리 2 8-0 (171-484),01065372611,7000.0,40.0
"대전광역시 황열황마을 
 열은로 953 962-199",01062177185,4000.0,70.0
충청남도 황도마을 란빈은거리 747 (271-004),01086294911,9000.0,30.0
"인천광역시 정상구 
 아익거리 8218 640-3 442-793",01059798521,6000.0,40.0
"전라남도 성희군 
 찬범권구 203 221 462-844",01069352583,8000.0,50.0
경상북도 흥유련마을 양진로 070 (275-633),01062121117,3000.0,70.0
전라북도 우가휘시 온힘로 6001 2-7 (626-876),01025261716,5000.0,50.0
경상남도 홍철시 산힘창구 2 (394-895),01015494132,1000.0,30.0
"부산광역시 무금시 
 관가덕동 0294 78-4 725-190",01067559771,6000.0,60.0
경상남도 권유두구 박후세로 7648 (857-896),01024198167,6000.0,40.0
충청북도 강형슬시 상보동 3 (509-275),01011457387,7000.0,40.0
경기도 해희안시 정근거리 5867 (014-974),01053245155,4000.0,50.0
경상남도 엽온산구 익억황거리 690 871-0 (608-815),01098112555,4000.0,30.0
강원도 열범시 비종건군 7 72-7 (094-674),01012484382,2000.0,30.0
울산광역시 교협건마을 환환로 3943 (257-797),01074686561,4000.0,50.0
"전라남도 육혜주군 
 산황거리 694 03-6 708-293",01046531289,1000.0,60.0
충청북도 무병시 천한상거리 1 (823-192),01033439158,8000.0,60.0
"제주특별자치도 황성마을 
 균미로 6 01-3 522-938",01033398117,5000.0,40.0
"전라북도 소찬군 
 유효혜동 430 473동 836호 579-027",01061955543,9000.0,60.0
"울산광역시 임수근시 
 연보민군 1229 722-798",01044879736,2000.0,70.0
제주특별자치도 안건준군 진화환거리 8829 (205-902),01057272634,4000.0,40.0
"서울특별시 아환마을 
 향별동 145 331-2 305-054",01027353397,4000.0,40.0
충청남도 동기시 범범웅거리 1 002동 597호 (623-764),01028555444,5000.0,50.0
경상북도 윤규힘군 장곡동한거리 0146 (709-670),01049568483,5000.0,40.0
제주특별자치도 선우협협구 의휘화거리 918 0-7 (434-460),01079459257,9000.0,60.0
